username,Category,Country
unileverprofesional,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
dra.alejandrapasshop,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
perfumeriasmarybe,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
cuestiondepieloficial,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
dubaibikinis,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
perfumeria.nobel,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
keziah.skincare,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
pieloriginal_,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
mery.natura,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
estetikaskinshop,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
amenite.arg,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
iraiscosmeticafitoactiva,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
sasami.ok,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
renuarargentina,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
weledaarg,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
precurcosmetica,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
theflowshop_ar,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
mery.natura.arg,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
peau.guerie,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
formulypiel,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
goveganis,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
natura.lara,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
misperfumesonline,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
bbglowarg,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
estetic.insumos.baires,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
Post,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
icom.salud,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
valuge.argentina,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
farmaciascienza,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
ivanala.joyas,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
gojiraf,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
chichila.arg,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
pichucospanalesdetela,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
